customer_id,customer_name,email,phone,address,signup_date,rejection_reason,rejection_timestamp
CUST5000,Cindy Davenport,brandongarcia@miller-sanders.com,283.508.7378,"97092 Marks Track, Perryside, KS 17582",2024-11-06,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5001,Angel Richards,angelagregory@yahoo.com,517-509-4191x156,"236 Torres Street, North Natasha, IA 39154",2019-07-25,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5002,Jeffery Clark,kaylawilson@hotmail.com,382.126.1550,"57478 Hall Ports, Hooverton, GA 16796",2024-02-20,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5003,Donald Rodriguez,todd61@smith.com,449-973-8434,"374 Barrera Views Suite 992, East Amanda, TX 34435",2021-10-10,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5004,Wesley Hensley,xharper@watts.info,972.472.6029x9871,"6298 Courtney Springs, East Alejandroville, VA 52998",2023-05-28,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5005,Miss Kirsten Rodriguez PhD,ojones@yahoo.com,393-160-9926x788,"50085 Richard Square, Stevensborough, GA 89465",2021-12-16,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5006,Jack Lopez,alewis@yahoo.com,+1-928-615-8484x6893,"69783 Krystal Lights Suite 677, Richardsonfurt, OH 30134",2022-06-13,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5007,David Harvey,cynthiachavez@mcdonald.com,001-829-167-8577x3974,"38878 Mary Drive Apt. 726, Port Debra, MT 59845",2020-05-10,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5008,Scott Dunlap,qlyons@yahoo.com,6396345190,"USS Allen, FPO AP 49114",2022-07-10,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5009,Debbie Morris,jennifer63@yahoo.com,001-080-943-7014x909,"3377 Rice Stravenue Apt. 317, North Lisafurt, VT 68958",2021-11-13,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5010,Sonya Higgins,colemanmonica@yahoo.com,001-086-348-4363x01007,"0407 John Bridge Suite 600, Lake Cathy, HI 85222",2024-10-05,Duplicate key constraint violation,2025-08-22 23:04:41.971192
CUST5011,Shannon Sparks,stran@yahoo.com,001-352-277-0151x6457,"PSC 6435, Box 9987, APO AA 69266",2021-12-30,Duplicate key constraint violation,2025-08-22 23:04:41.971192
