customer_id,customer_name,email,phone,address,signup_date,rejection_reason,rejection_timestamp
CUST2000,Daniel Butler,sandra35@martinez.com,438-800-1328,"5310 Christian Mission Suite 319, South Calvinstad, DC 62094",2021-08-30,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2001,John Caldwell,michaelflores@lee-flores.com,001-368-509-0993x680,"99052 Nguyen Islands Apt. 722, West Timothymouth, AK 79651",2020-12-23,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2002,Brianna Pacheco,juliejones@hotmail.com,746-861-7760x3039,"0180 Kenneth Route Suite 839, Nguyenland, TN 85905",2021-10-07,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2003,Lori Lee,shannonmontgomery@hotmail.com,001-298-605-0423x290,"37075 Randall Turnpike, Bowmanmouth, WV 49427",2019-04-01,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2004,Chad Morris,crystalware@hotmail.com,(361)349-4007x7313,"2216 Joyce Flats, Waynebury, PA 77751",2020-11-22,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2005,Robert Cooper,amanning@gmail.com,(892)020-4723,"65878 Jane Mount, North Kelsey, OH 23882",2020-11-20,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2006,William Bush,joy39@elliott.com,749-729-4215x25281,"68221 Wong Roads, Maldonadohaven, DC 11039",2019-11-18,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2007,Kathleen Davis,aking@gmail.com,8516197866,"PSC 4652, Box 3518, APO AE 57429",2023-10-16,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2008,Jill Stewart,beth53@graham-golden.com,+1-377-138-5226,"286 Glass Way Apt. 467, West Matthewville, KY 62539",2020-02-29,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2009,Eugene Nelson,sara58@hotmail.com,(289)927-4175,"632 Krista Route, Garzaborough, NY 72645",2024-02-17,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2010,Micheal Wilson,ffarrell@hotmail.com,555-317-6531x45141,"04765 Pruitt Grove, Boydfurt, NY 62356",2020-09-06,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2011,Peter Collins,fisherwanda@marquez-washington.biz,697.584.2533x28619,"1628 Anna Pines Suite 317, Baileyton, MD 78709",2019-06-14,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2012,Sharon Lopez,christopher89@hotmail.com,342.286.3453x9927,"494 Harris Mall, South Kerry, TX 33001",2021-10-31,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2013,Margaret Jackson,brittany21@gmail.com,(342)064-0171x996,"757 Johnston Brooks, West Jeremy, WY 85143",2022-10-25,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2014,Karen Allen,adam05@stewart-cabrera.info,(405)682-4978,"9375 Jordan Inlet, Barreramouth, UT 72145",2023-03-23,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2015,Stephanie Mosley,marilynfernandez@martinez.info,062-575-2703x3739,"11720 Mark Lane Suite 771, North Debbie, WA 53297",2019-04-22,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2016,James Davis,stephanie14@harvey.com,001-526-315-2094x5498,"524 Ryan Trail Suite 291, Thomaston, NE 42895",2019-05-29,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2017,Matthew Mann,myershunter@yahoo.com,001-367-977-7055x287,"948 Zachary Island, Davischester, MT 20040",2024-07-26,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2018,Brian Chen,heatherperez@gmail.com,(114)339-2115x23696,"106 Williamson Fields, Lake Chrisburgh, VT 75670",2020-01-03,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2019,Lisa Davis,seth92@gmail.com,0838891110,"36178 Allison Throughway, East Robertside, NE 49302",2023-01-07,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2020,Kevin Robinson,philip36@estes-gonzalez.com,+1-953-725-5577,"11974 Gomez Orchard, Andersonview, DE 10273",2022-04-14,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2021,Elizabeth Mckenzie,ylee@johnson.com,160-080-4003,"618 Andrews Crest Suite 353, Michaelburgh, IL 69610",2020-09-09,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2022,Kiara Park,amber33@hotmail.com,(272)398-7259,"50979 Jason Port Suite 384, North Miguel, ME 36250",2024-02-20,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2023,Lori Lucas,sweeneychristopher@johnson.biz,265-871-8927x132,"58338 James Stream Suite 458, Grantborough, OR 74567",2021-08-25,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2024,Steven Thompson,mitchelldeborah@yahoo.com,386.228.7623,"03082 Kelsey Burg, New Daniel, CO 53365",2024-09-09,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2025,Nathaniel Lewis,william69@ryan-cooper.com,9605277158,"823 Amanda Garden Suite 924, Greenfort, WI 35122",2022-12-28,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2026,Stephanie Howard,jessica74@rocha-sanchez.com,+1-037-674-4423x01712,"40578 Christopher Fall, Blaketon, NH 75759",2020-10-26,Duplicate key constraint violation,2025-08-22 23:10:40.979467
CUST2027,Sheila Hopkins,amy06@garcia.com,314.569.6115x9644,"787 Marshall Avenue, Brandonburgh, ME 74992",2023-07-16,Duplicate key constraint violation,2025-08-22 23:10:40.979467
