product_id,store_id,stock_level,last_updated,supplier_id
PROD1435,STORE150,474,2024-11-17,SUP165
PROD1427,STORE190,410,2023-05-15,SUP244
PROD1173,STORE162,472,2024-02-27,SUP237
PROD1011,STORE167,322,2024-02-07,SUP296
PROD1446,STORE120,345,2025-04-14,SUP218
PROD1475,STORE178,422,2023-06-06,SUP238
PROD1062,STORE105,31,2024-02-09,SUP252
PROD1072,STORE189,238,2024-11-22,SUP142
PROD1400,STORE115,5,2024-11-03,SUP185
PROD1372,STORE111,360,2023-11-08,SUP145
PROD1249,STORE138,327,2023-06-06,SUP155
PROD1122,STORE170,197,2023-05-21,SUP179
PROD1427,STORE197,159,2023-07-13,SUP226
PROD1429,STORE133,15,2023-06-03,SUP268
PROD1290,STORE148,86,2024-09-06,SUP216
PROD1404,STORE189,230,2025-05-10,SUP285
PROD1257,STORE147,264,2023-07-19,SUP163
PROD1448,STORE147,333,2024-02-13,SUP181
PROD1069,STORE130,116,2024-09-29,SUP208
PROD1075,STORE173,100,2025-05-14,SUP211
PROD1455,STORE166,123,2025-01-16,SUP273
PROD1016,STORE108,59,2024-07-02,SUP246
PROD1318,STORE102,422,2024-06-21,SUP196
PROD1482,STORE187,382,2023-01-15,SUP198
PROD1301,STORE156,12,2025-04-29,SUP109
PROD1128,STORE145,414,2025-02-16,SUP121
PROD1416,STORE130,284,2023-04-20,SUP243
PROD1402,STORE190,410,2023-10-08,SUP268
PROD1370,STORE196,328,2024-04-30,SUP187
PROD1293,STORE196,347,2024-02-23,SUP145
PROD1483,STORE153,41,2024-10-20,SUP121
PROD1380,STORE164,117,2023-10-22,SUP204
PROD1041,STORE144,237,2023-09-02,SUP274
PROD1233,STORE132,491,2023-06-13,SUP279
PROD1390,STORE167,111,2023-05-27,SUP122
PROD1436,STORE197,38,2024-10-24,SUP278
PROD1239,STORE160,430,2024-11-06,SUP102
PROD1428,STORE117,21,2025-01-22,SUP254
PROD1405,STORE190,403,2025-04-14,SUP101
PROD1454,STORE134,182,2023-02-13,SUP138
PROD1394,STORE170,331,2024-01-18,SUP186
PROD1243,STORE175,491,2024-01-19,SUP254
PROD1159,STORE139,306,2023-11-13,SUP250
PROD1318,STORE167,330,2025-01-25,SUP168
PROD1185,STORE113,349,2023-09-18,SUP285
PROD1282,STORE161,7,2025-05-07,SUP155
PROD1462,STORE155,65,2025-03-16,SUP123
